match_id,season,date,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by,win_margin,player_of_match,umpire1,umpire2,tv_umpire,match_referee
1075986,2017,09/02/2017,Dubai,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi,Islamabad United,field,Islamabad United,wickets,7,BJ Haddin,Ahsan Raza,Shozab Raza,Rashid Riaz,RS Mahanama
1075987,2017,10/02/2017,Dubai,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,field,Quetta Gladiators,runs,8,Hassan Khan,Rashid Riaz,Shozab Raza,Ahsan Raza,Mohammed Anees
1075988,2017,10/02/2017,Dubai,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,7,EJG Morgan,Ahmed Shahab,Ahsan Raza,Asif Yaqoob,RS Mahanama
1075989,2017,11/02/2017,Dubai,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,wickets,6,JJ Roy,Asif Yaqoob,Shozab Raza,Ahsan Raza,RS Mahanama
1075990,2017,11/02/2017,Dubai,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,7,RR Rossouw,Aleem Dar,Rashid Riaz,Ahmed Shahab,Mohammed Anees
1075991,2017,12/02/2017,Dubai,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,3,Yasir Shah,Aleem Dar,RK Illingworth,Ahsan Raza,Mohammed Anees
1075992,2017,15/02/2017,Sharjah,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators,Islamabad United,field,Islamabad United,wickets,5,SW Billings,Aleem Dar,RK Illingworth,Shozab Raza,RS Mahanama
1075993,2017,16/02/2017,Sharjah,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Lahore Qalandars,runs,7,Fakhar Zaman,Aleem Dar,RK Illingworth,Ahsan Raza,Mohammed Anees
1075994,2017,17/02/2017,Sharjah,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,No Result,,0,,Ahsan Raza,Asif Yaqoob,Rashid Riaz,Mohammed Anees
1075995,2017,17/02/2017,Sharjah,Sharjah Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,field,Karachi Kings,runs,8,Babar Azam,Aleem Dar,RK Illingworth,Shozab Raza,RS Mahanama
1075996,2017,18/02/2017,Sharjah,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,5,KP Pietersen,Rashid Riaz,Shozab Raza,Ahmed Shahab,RS Mahanama
1075997,2017,18/02/2017,Sharjah,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi,Islamabad United,field,Islamabad United,wickets,5,Mohammad Sami,Aleem Dar,RK Illingworth,Asif Yaqoob,Mohammed Anees
1075998,2017,19/02/2017,Sharjah,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,runs,9,Shoaib Malik,Ahmed Shahab,Aleem Dar,Shozab Raza,Mohammed Anees
1075999,2017,20/02/2017,Sharjah,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,wickets,1,Umar Akmal,Ahmed Shahab,Ahsan Raza,Rashid Riaz,RS Mahanama
1076000,2017,23/02/2017,Dubai,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,6,Mahmudullah,Aleem Dar,REJ Martinesz,Ahsan Raza,Shozab Raza
1076001,2017,24/02/2017,Dubai,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,bat,Peshawar Zalmi,runs,17,Shakib Al Hasan,REJ Martinesz,Shozab Raza,Ahmed Shahab,RS Mahanama
1076002,2017,24/02/2017,Dubai,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,runs,1,Mohammad Sami,Ahsan Raza,Aleem Dar,Rashid Riaz,Mohammed Anees
1076003,2017,25/02/2017,Dubai,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Karachi Kings,wickets,5,KA Pollard,REJ Martinesz,Shozab Raza,Rashid Riaz,Mohammed Anees
1076004,2017,25/02/2017,Dubai,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Peshawar Zalmi,wickets,2,Mohammad Asghar,Ahmed Shahab,Ahsan Raza,Aleem Dar,RS Mahanama
1076005,2017,26/02/2017,Dubai,Dubai International Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,field,Karachi Kings,wickets,6,CH Gayle,Aleem Dar,REJ Martinesz,Ahsan Raza,RS Mahanama
1076006,2017,28/02/2017,Sharjah,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,runs,1,Ahmed Shehzad,REJ Martinesz,Shozab Raza,Ahsan Raza,RS Mahanama
1076007,2017,01/03/2017,Sharjah,Sharjah Cricket Stadium,Karachi Kings,Islamabad United,Islamabad United,field,Karachi Kings,runs,44,Imad Wasim,REJ Martinesz,Shozab Raza,Ahsan Raza,RS Mahanama
1076008,2017,03/03/2017,Dubai,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings,Karachi Kings,field,Peshawar Zalmi,runs,24,Kamran Akmal,Ahsan Raza,REJ Martinesz,Shozab Raza,RS Mahanama
1076009,2017,05/03/2017,Lahore,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,runs,58,DJG Sammy,Ahsan Raza,REJ Martinesz,Shozab Raza,RS Mahanama
1128818,2018,22/02/2018,Dubai,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans,Multan Sultans,field,Multan Sultans,wickets,7,KC Sangakkara,Ahmed Shahab,RT Robinson,REJ Martinesz,RS Mahanama
1128819,2018,23/02/2018,Dubai,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Karachi Kings,bat,Karachi Kings,runs,19,CA Ingram,REJ Martinesz,Rashid Riaz,Ahmed Shahab,Mohammed Anees
1128820,2018,23/02/2018,Dubai,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars,Lahore Qalandars,field,Multan Sultans,runs,43,Imran Tahir,Asif Yaqoob,RT Robinson,Shozab Raza,RS Mahanama
1128821,2018,24/02/2018,Dubai,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi,Islamabad United,field,Peshawar Zalmi,runs,34,Umaid Asif,REJ Martinesz,Rashid Riaz,Ahmed Shahab,Mohammed Anees
1128822,2018,24/02/2018,Dubai,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Quetta Gladiators,field,Quetta Gladiators,wickets,9,Mohammad Nawaz (3),Asif Yaqoob,RT Robinson,Shozab Raza,RS Mahanama
1128823,2018,25/02/2018,Dubai,Dubai International Cricket Stadium,Multan Sultans,Islamabad United,Islamabad United,field,Islamabad United,wickets,5,Hussain Talat,REJ Martinesz,Rashid Riaz,,
1128824,2018,25/02/2018,Dubai,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,bat,Karachi Kings,wickets,5,DR Smith,REJ Martinesz,RT Robinson,Shozab Raza,RS Mahanama
